# Fichier g�n�r� par Top-Booster ( http://www.top-booster.com )
# Votes du 12/04/2021 au 18/04/2021
#
# SSAoG
#
# Classement en fonction de Total (IDmark et ID+mark cumul�s)
# Pseudo;Classement;IDmark;ID+mark;Total
Alastair;1;745;0;745
Kaleb;2;332;0;332
Esther;3;330;0;330
Endymion;4;215;0;215
Selena;5;205;0;205
Celestia;6;205;0;205
Diane;7;201;0;201
Zvezdan;8;150;0;150
Rudjek;9;140;0;140
Ryme;10;124;0;124
Silas;11;112;0;112
Childeric;12;75;0;75
Akir;13;50;0;50
Cuchulainn;14;34;0;34
Mehry;15;25;0;25
Taym;16;25;0;25
Asenath;17;25;0;25
Emrys;18;20;0;20
